
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00868 / 0.00733 = 1.00000 (16) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==obstacle detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01746 * 0.20455 / 0.23569 = 0.01516 (9) (A_count=44)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00597 / 0.00504 = 1.00000 (11) (A_count=1843)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.91677 * 0.03952 / 0.05010 = 0.72316 (106) (A_count=2682)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00000 / 0.00197 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00289 / 0.00320 = 0.14033 (3) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00662 / 0.00316 = 0.23776 (2) (A_count=302)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00054 / 0.00061 = 0.75375 (1) (A_count=1843)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00109 / 0.00092 = 1.00000 (2) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.57327 * 0.02752 / 0.02404 = 0.65627 (48) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(Trust_Human=Trust_Human==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00175 / 0.00173 = 0.77340 (4) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00172 / 0.00399 = 0.24707 (3) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00362 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00075 = 0.00000 (0) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.26344 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Trust_Human=Trust_Human>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.42638 * 0.01937 / 0.02405 = 0.34341 (22) (A_count=1136)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=302)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.91677 * 0.00820 / 0.00794 = 0.94706 (22) (A_count=2682)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.57327 * 0.37156 / 0.43914 = 0.48505 (648) (A_count=1744)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.03709 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==false alarm | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.03715 = 0.00000 (0) (A_count=21)
P(Trust_Human=Trust_Human<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.04636 / 0.00526 = 1.00000 (14) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.57327 * 0.41170 / 0.31340 = 0.75308 (718) (A_count=1744)
P(EventW_Machine=EventW_Machine==obstacle detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.01746 * 0.02273 / 0.01703 = 0.02331 (1) (A_count=44)
P(Trust_Human=Trust_Human==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00438 / 0.00846 = 0.39626 (10) (A_count=2282)
P(EventW_Machine=EventW_Machine==cyclist detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.01548 * 0.10000 / 0.07608 = 0.02034 (4) (A_count=40)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00352 / 0.00512 = 0.29327 (4) (A_count=1136)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.01698 = 0.00000 (0) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00088 / 0.00103 = 0.36329 (1) (A_count=1136)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.02122 / 0.04959 = 0.06639 (22) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.00864 * 0.15000 / 0.25884 = 0.00501 (3) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00401 / 0.00831 = 0.27685 (7) (A_count=1744)
P(Trust_Human=Trust_Human<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.02318 / 0.00572 = 0.45920 (7) (A_count=302)
P(Trust_Human=Trust_Human>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.07432 / 0.07907 = 0.11395 (22) (A_count=296)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00069 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00488 / 0.00517 = 0.79738 (9) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00344 / 0.00385 = 0.51221 (6) (A_count=1744)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.15000 / 0.04081 = 0.03177 (3) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.02377 / 0.01211 = 0.83701 (27) (A_count=1136)
P(Trust_Human=Trust_Human>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00068 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.91677 * 0.07681 / 0.07588 = 0.92799 (206) (A_count=2682)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.08219 / 0.23440 = 0.01193 (6) (A_count=73)
P(Trust_Human=Trust_Human==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00263 / 0.00201 = 1.00000 (6) (A_count=2282)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00797 = 0.00000 (0) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00264 / 0.00113 = 1.00000 (3) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00038 = 0.00000 (0) (A_count=1744)
P(Trust_Human=Trust_Human==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.01183 / 0.01848 = 0.48977 (27) (A_count=2282)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==obstacle detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.01746 * 0.00000 / 0.00797 = 0.00000 (0) (A_count=44)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.06417 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.00519 = 0.02882 (1) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00440 / 0.00385 = 0.48743 (5) (A_count=1136)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.05000 / 0.05659 = 0.00764 (1) (A_count=20)
P(EventW_Machine=EventW_Machine==cyclist detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01548 * 0.25000 / 0.23579 = 0.01641 (10) (A_count=40)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00096 / 0.00244 = 0.06129 (1) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00352 / 0.00479 = 0.31341 (4) (A_count=1136)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.01238 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00573 / 0.00366 = 0.89744 (10) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00516 / 0.00409 = 0.72415 (9) (A_count=1744)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.69238 / 0.40448 = 0.26564 (718) (A_count=1037)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00482 / 0.00075 = 1.00000 (5) (A_count=1037)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00326 / 0.00320 = 0.85959 (6) (A_count=1843)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00733 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00344 / 0.01211 = 0.16280 (6) (A_count=1744)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.05480 / 0.04959 = 0.93356 (101) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.01014 / 0.00327 = 0.37582 (3) (A_count=296)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.07841 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00573 / 0.00479 = 0.68629 (10) (A_count=1744)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00103 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00115 / 0.00254 = 0.25927 (2) (A_count=1744)
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.36986 / 0.22285 = 0.05646 (27) (A_count=73)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00088 / 0.00366 = 0.10243 (1) (A_count=1136)
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.03402 * 0.04110 / 0.03719 = 0.03760 (3) (A_count=73)
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.00000 / 0.07537 = 0.00000 (0) (A_count=73)
P(Trust_Human=Trust_Human>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00000 / 0.00476 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==false alarm | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00183 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00264 / 0.00343 = 0.32844 (3) (A_count=1136)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00597 / 0.00519 = 0.97116 (11) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00103 = 0.00000 (0) (A_count=302)
P(EventW_Machine=EventW_Machine==false alarm | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.91677 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2682)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00092 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.01465 / 0.01238 = 1.00000 (27) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00338 / 0.00177 = 0.23139 (1) (A_count=296)
